НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
Хабар,"87172757500, 87172 757600","ул. Д.Кунаева, д.4, зд. ""Казмедиа центр""","astana@khabar.kz, https://khabar.kz/ru/",,Нур-Султан,Нур-Султан,ТВ,"АО Агентство ""Хабар"", Динара Бисембина",astana@khabar.kz,https://khabar.kz/ru/
Atameken Business Channel,87172790481,"пр. Кабанбай батыра, 17, блок ""Е"", БЦ IBS, 2 этаж","news@abctv.kz, atamekeninfo@gmail.com, https://inbusiness.kz/ru/tv",Мира Халина,Нур-Султан,Нур-Султан,ТВ,"ТОО ""Медиа Holding Atameken Businessl"", Канат Сахария",news@abctv.kz atamekeninfo@gmail.com,https://inbusiness.kz/ru/tv
Qazaqstan,"8717 2 757056, 8717 2 757053","ул. Д.Кунаева, д.4, зд. ""Казмедиа центр""","rtrk@kaztrk.kz, https://qazaqstan.tv/",,Нур-Султан,Нур-Султан,ТВ,"АО ""РТРК ""Казахстан"", Еркін Мұхамеджанов",rtrk@kaztrk.kz,https://qazaqstan.tv/
Ауыл тынысы - Пульс села,"87184121458, 87183121285","с. Актогай, ул. К.Алина,97",pyls@mail.ru,Шайахмет Садвакасов,Павлодарская область,Актогайский район,Газета,"ТОО ""Редация районных газет ""Ауыл тынысы"" и ""Пульс села""",pyls@mail.ru,
Родные просторы,"871831 22033, 871831 21784","с. Железинка, ул.Ауэзова, 10","prostorod@mail.ru , rp-press@mail.ru",Мухамади Хамитов,Павлодарская область,Железинский район,Газета,"ТОО ""Информационный центр Железинского района"", Канат Кималденов",prostorod@mail.ru  rp-press@mail.ru,
Туған өлке,87183121858,"с. Железинка, ул.Ауэзова, 10",tugan_olke@mail.ru,Азат Сергазин,Павлодарская область,Железинский район,Газета,,tugan_olke@mail.ru,
Аймақ ажары - Огни села,"871834 91875, 871834 91889","с. Успенка, ул.Семенченко, 29",uspbudni@yandex.ru,"Нурбек Кенесбай, Дамели Бутаева",Павлодарская область,Успенский район,Газета,"ТОО ""Успенска-газета"", Жанна Каримова",uspbudni@yandex.ru,
Аққу үні - Вести Акку,87183921082,"с. Лебяжье, ул.Амангельды, 69/2",akku_yni@mail.ru,Айсулу Бижанова,Павлодарская область,Район Аққулы,Газета,"ТОО ""Редакция Лебяжинской районной газеты ""Аққу үні"" - ""Вести Акку"" акимата района Аққулы",akku_yni@mail.ru,
Baiantay,"871840 91550, 871840 92024","п. Баянаул, ул.Сатпаева,49",redakciyabayantau@mail.ru,Айдана Айтуганова ,Павлодарская область,Баянаульский район,Газета,"ТОО ""Редакция газеты ""Баянтау"", Әшім Еламан",redakciyabayantau@mail.ru,
Версия,87182324767,"ул. Естая, 40","versia.pv@gmail.com, https://www.versia-pv.kz/",Тамара Абубакарова,Павлодарская область,Павлодар,Газета,"ТОО ""Версия ПРЕСС"", Василий Голышкин",versia.pv@gmail.com,https://www.versia-pv.kz/
Голос Экибастуза,"87187 341775,87187 341132","ул. Мәшһүр Жүсіп, 48",golosekibastyza@gmail.com,Николай Гостищев,Павлодарская область,Экибастуз,Газета,"ТОО ""Информационный центр - Екібастұз дауысы"", И.О. Директор Виктория Камалетдинова",golosekibastyza@gmail.com,
Городская неделя,87182537927,"ул. Торайгырова, 59","cityweek@yandex.ru, https://vk.com/cityweek_pvl",Глеб Ковхаев,Павлодарская область,Павлодар,Газета,"ТОО ""Неделя ПВ""",cityweek@yandex.ru,https://vk.com/cityweek_pvl
Ертіс нұры - Иртыш,"871832 21238,871832  22828","с. Иртышск, ул. Кажы Мукана, 107",irtpress@yandex.ru,Алтынай Демесинова,Павлодарская область,Иртышский район,Газета,"ТОО Редакция газет ""Ертіс нұры"" и ""Иртыш"" акимата Иртышского района""",irtpress@yandex.ru,
Заман тынысы - Нива,"87182 628980,87182 628981, 87182 322459","ул. Астана, 143","Zaman4444@mail.ru, niva1930@mail.ru",Дарига Каржауова,Павлодарская область,Павлодар,Газета,"ТОО Редакция газет ""Заман тынысы"" и ""Нива""",Zaman4444@mail.ru niva1930@mail.ru,
Тереңкөл тынысы,87183322113,"с. Теренколь, ул. Тургенева, 85а",terenkol_tinisi@mail.ru,Ербол Қамзин,Павлодарская область,Теренкольский район,Газета,"ТОО Редакия газет ""Тереңкөл тынысы"" и ""Заря"" района района Тереңкөл",terenkol_tinisi@mail.ru,
Заря,87183322145,"с. Теренколь, ул. Тургенева, 85а","zaray_press@rambler.ru,terenkolpress09@rambler.ru",Ольга Гараева,Павлодарская область,Теренкольский район,Газета,"ТОО Редакия газет ""Тереңкөл тынысы"" и ""Заря"" района района Тереңкөл",zaray_press@rambler.ruterenkolpress09@rambler.ru,
Звезда Прииртышья,87182661545,"ул. Естая, 61","zvezda-pvl@rambler.ru, http://irstar.kz/",Владимир Долгушев ,Павлодарская область,Павлодар,Газета,"ТОО ""Ертiс Медиа"", Аскар Шомшеков",zvezda-pvl@rambler.ru,http://irstar.kz/
Наша жизнь,87182730443,"ул. Торайгырова, 64, 2 этаж",life_pv@mail.ru,Елена Васильченко,Павлодарская область,Павлодар,Газета,,life_pv@mail.ru,
Aqsy joly,"87183 769950, 87779755051","ул. Сторителей, 14а",aksu_zholy@mail.ru,Гүлбану Өзкей,Павлодарская область,Аксу,Газета,"ТОО ""Информационный центр акимата города Аксу"", Ерсин Нурмагамбетулы",aksu_zholy@mail.ru,
Новый путь,87183765698,"ул. Строителей, 14а.",novyi_put.aksu@mail.ru,Сабира Сагинай,Павлодарская область,Аксу,Газета,"ТОО ""Информационный центр акимата города Аксу"", Ерсин Нурмагамбетулы",novyi_put.aksu@mail.ru,
Обозрение Недели Павлодар,87182618014,"ул. Астана, 143, каб.5","redaktor@obozrenie.kz, https://obozrenie.kz/",Валерия Джембетова,Павлодарская область,Павлодар,Газета,"ТОО ""Неделя ПВ""",redaktor@obozrenie.kz,https://obozrenie.kz/
Отарка,"87187 400619,87187 341105","ул. Мәшһүр Жүсіп, 46",otarka92@yandex.ru,Жанаргуль Кадырова,Павлодарская область,Экибастуз,Газета,"ТОО ""Информационный центр- Екібастұз дауысы"", Айдын Қояғанов",otarka92@yandex.ru,
Сарыарқа самалы,"87182 661461,87182 661530","ул. Астана, 143","ssamaly29@gmail.com, http://saryarka-samaly.kz/",Нурбол Жайыкбаев,Павлодарская область,Павлодар,Газета,"ТОО ""Ертiс Медиа"", Аскар Шомшеков",ssamaly29@gmail.com,http://saryarka-samaly.kz/
Семерка,"87187  755034, 87187 755032","ул. Ауэзова, 15",semerka_ekb@mail.ru,Динара Кадырова,Павлодарская область,Экибастуз,Газета,"ТОО Вестник, Виталий Ибрагимов",semerka_ekb@mail.ru,
Шамшырақ,87183840085,"с. Коктобе, ул. Казыбек би, 24","shammai@mail.ru, http://audan.kz/",Мейрамбек Қызырұлы,Павлодарская область,Майский район,Газета,"ТОО Редакция газеты ""Шамшырақ""",shammai@mail.ru,http://audan.kz/
Sharbaqty,87183621263,"с. Шарбакты, ул.Малайсары тархана, 42",sharbaqty@gmail.com,Абылкаирова Ажар,Павлодарская область,Щербактинский район,Газета,"ТОО Редакция районной газеты ""Sharbaqty"" акимата Щербактинского района, Абылкаирова Ажар",sharbaqty@gmail.com,
Pavlodarnews.kz,"87182 651261, 87182 661581","ул. Астана, 143, офис 308","info@pavlodarnews.kz, http://pavlodarnews.kz/",Светлана Воронова,Павлодарская область,Павлодар,ИА,"ТОО ""Ертiс Медиа"", Аскар Шомшеков",info@pavlodarnews.kz,http://pavlodarnews.kz/
Pavon.kz,87182208784,"ул. Ген.Дюсенова, 18/3 ","info@pavon.kz, http://pavon.kz/",Евгений Шультайс,Павлодарская область,Павлодар,ИА,"ТОО ""Компания Shu-tech"", Евгений Шультайс",info@pavon.kz,http://pavon.kz/
www.lifepvl.kz,87182730443,"ул. Торайгырова, 64, 2 этаж, офис № 22","life_pv@mail.ru, http://www.lifepvl.kz/",Елена Васильченко,Павлодарская область,Павлодар,ИА,"ТОО ""Аналитик ПВ""",life_pv@mail.ru,http://www.lifepvl.kz/
Халық радиосы,,"ул. Сураганова, №21",oblradio.pvl@yandex.kz,,Павлодарская область,Павлодар,Радио,"ТОО ""Ертiс Медиа"", Аскар Шомшеков",oblradio.pvl@yandex.kz,
Лабрис- TV Плюс,,"ул. Ауэзова, 15",semerka_ekb@mail.ru,,Павлодарская область,Экибастуз,Радио,"ТОО ""ТРК Лабрис- TV Плюс"", Виталий Ибрагимов",semerka_ekb@mail.ru,
www.obozrenie.kz,87182618014,"ул. Астана, 143, каб.5","redaktor@obozrenie.kz, https://obozrenie.kz/",Валерия Джембетова,Павлодарская область,Павлодар,Сетевое издание,"ТОО ""Неделя ПВ""",redaktor@obozrenie.kz,https://obozrenie.kz/
ERTIS,"8 7182 338993, 8 7182 339026, 87028098399","ул. Сураганова, 21","kaz.pavlodar@mail.ru, http://pavlodartv.kz/ru",Гульмира Бактиярова,Павлодарская область,Павлодар,ТВ,"АО ""Республиканская Телерадиокорпорация  ""Казахстан"", Гульнаш Абишева",kaz.pavlodar@mail.ru,http://pavlodartv.kz/ru
ИРБИС ТВ,"87182 55 65 75, 87128 551099","ул. Торайгырова, 64","irbistelekom@mail.ru, https://pavlodartoday.com/",Оксана Постырнак,Павлодарская область,Павлодар,ТВ,"ТОО ""РИА"" Арна"", Оксана Пастернак",irbistelekom@mail.ru,https://pavlodartoday.com/
Экибастузский городской телеканал,"87187 348070, 8777 545 5239","ул. Энергетиков, 62",egt-rek@mail.ru,Лариса Пузикова,Павлодарская область,Экибастуз,ТВ,"Учреждение ""Экибастузская городская телекомпания"", Лариса Пузикова",egt-rek@mail.ru,
Қызылжар нұры - Qyzyljar nury,"87152 361615, 8 715 2 500914","ул. К.Сутюшева,7","kzlqar_n@mail.ru, https://kn.soltustikkaz.kz/",Жадыра Есенгелді,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Қызылжар - Ақпарат"", Жарасбай Сулейменов",kzlqar_n@mail.ru,https://kn.soltustikkaz.kz/
Солтүстік Қазақстан - Soltüstik Qazaqstan,"8 715 2 500914, 8 715 2 550 15 47","ул. К.Сутюшева,7","kyzylzhar_akparat@mail.ru, www.soltustikkaz.kz",Ербакыт Амантайулы,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Қызылжар - Ақпарат"", Жарасбай Сулейменов",kyzylzhar_akparat@mail.ru,http://www.soltustikkaz.kz/
Вести,87153121521,"Булаево, ул.Батыр Баяна, 13","gazeta_vesti@mail.ru , http://www.gazetavesti.kz/",Ольга Владюк,Северо-Казахстанская область,Район Магжана Жумабаева,Газета,"ТОО Газета «Вести», Нелли Гончар",gazeta_vesti@mail.ru,http://www.gazetavesti.kz/
Айыртау таңы - Айыртауские зори,"8715 3321485, 8701 4829, 877,8702 9214190,","с. Саумалколь, ул. Конституции, 72","airinfo@mail.ru, airtau_tany@mail.ru, http://az.ivest.kz/",Баглан Кожаков,Северо-Казахстанская область,Айыртауский район,Газета,"ТОО ""Айыртау-Информ"", Ирина Бурковская",airinfo@mail.ru airtau_tany@mail.ru,http://az.ivest.kz/
Нұрлы Ел - Акжарские вести,"87154 220027, 87154 679019, 8702 603 83 77","с. Талшик, ул. Целинная,13",Nurlyel2011@mail.ru,Амрин Болат,Северо-Казахстанская область,Акжарский район,Газета,"ТОО ""Нұрлы ел"", Бибинұр Топанбаева",Nurlyel2011@mail.ru,
Аққайың,"871532 22209, 871532 21267","с.Смирново, ул.Зеленая 31","akkain_smi@mail.ru , http://www.smirnovo.info/kolos/",Жайна Шеониязова,Северо-Казахстанская область,Аккайынский район,Газета,"ТОО ""Редакция газеты ""Колос"", Александр Лесиков",akkain_smi@mail.ru,http://www.smirnovo.info/kolos/
Колос,"87153222209, 871532 21267","с.Смирново, ул.Зеленая 31","gaz_colos@mail.ru, http://www.smirnovo.info/kolos/",Александр Лесиков,Северо-Казахстанская область,Аккайынский район,Газета,"ТОО ""Редакция газеты ""Колос"", Александр Лесиков",gaz_colos@mail.ru,http://www.smirnovo.info/kolos/
Ауыл арайы - Сельская новь,"87154421334, 87775537203","с.Пресновка, ул. Дружбы, 16",selskayanov2009@yandex.ru,Игилик Рахметов,Северо-Казахстанская область,Жамбылский район,Газета,"ТОО ""Газета ""Ауыл арайы - Сельская новь"", Екпин Абиев",selskayanov2009@yandex.ru,
Добрый вечер,87152310828,"ул. Кошукова, 5","diana_timur@mail.ru, www.izdatelstvo-sk.kz",Диана Слинькова,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Издательство ""Северный Казахстан"", Иван Моор",diana_timur@mail.ru,https://izdatelstvo-sk.kz/
Неделя СК,87152310778,"ул. Кошукова, 5","e-beregnaya@mail.ru, www.izdatelstvo-sk.kz",Елена Резунова,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Издательство ""Северный Казахстан"", Иван Моор",e-beregnaya@mail.ru,https://izdatelstvo-sk.kz/
Северный Казахстан,"87152310832, 87152 365958","ул. Кошукова, 5","mail@izdatelstvo-sk.kz, nazik.ks@mail.ru, www.izdatelstvo-sk.kz",Назгуль Испанова,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Издательство ""Северный Казахстан"", Иван Моор",mail@izdatelstvo-sk.kz nazik.ks@mail.ru,https://izdatelstvo-sk.kz/
Есіл өңірі,87153521125,"с.Новоишимское, ул. Абылайхана, 30","gazeta-e@rambler.ru , esiloniri@mail.ru, http://esiloniri.kz",Гульбаршын Сатубалдина,Северо-Казахстанская область,Район имени Габита Мусрепова,Газета,"ТОО ""Информ-Дала-Сервер"", Сауле Есентаева",gazeta-e@rambler.ru  esiloniri@mail.ru,http://esiloniri.kz
Есіл таңы - Ишим,"871543 22786, 87054565712","с.Явленка,ул. Ленина 4",ishim-vesti@mail.ru,Мейраш Абуов,Северо-Казахстанская область,Есильский район,Газета,"ТОО Ишим-Вести, Мейраш Абуов",ishim-vesti@mail.ru,
Солтүстік Жұлдызы - Знамя труда,"8715 41 22827, 8715 41 22862","Мамлютка, ул. Лермонтова, 23-6","znamya_truda_mam@mail.ru, skozhuldyz@mail.ru",Халида Шагвалеева,Северо-Казахстанская область,Мамлютский район,Газета,"ТОО ""Редакция газеты ""Знамя труда"", Халида Шагвалеева",znamya_truda_mam@mail.ru skozhuldyz@mail.ru,
Кішкенекөл таңы,87154220027,"с. Кишкенеколь,ул. Сабыр Маликова, 72",nurlyel2011@mail.ru,Бибинұр Топанбаева,Северо-Казахстанская область,Уалихановский район,Газета,"ТОО ""Нұрлы ел"", Бибинур Топанбаева",nurlyel2011@mail.ru,
Қызыл ту,87154220027,"с. Кишкенеколь,ул. Сабыр Маликова, 72",nurlyel2011@mail.ru,Бибинур Топанбаева,Северо-Казахстанская область,Уалихановский район,Газета,"ТОО ""Нұрлы ел"", Бибинур Топанбаева",nurlyel2011@mail.ru,
Нива,8713720583,"с.Тимирязево, ул. Ч. Валиханова, 1",r-niva@rambler.ru,Владимир Синенко,Северо-Казахстанская область,Тимирязевский район,Газета,"ТОО ""Целинное Нива"", Владимир Синенко",r-niva@rambler.ru,
Көтерілген тың,"87153721016, 87137 20583","с.Тимирязево, ул. Ч. Валиханова, 1",r-niva@rambler.ru,Владимир Синенко,Северо-Казахстанская область,Тимирязевский район,Газета,"ТОО ""Целинное Нива"", Владимир Синенко",r-niva@rambler.ru,
Қызылжар,"8771 1072286, 8775 585 2853","с.Бесколь, ул. Гагарина, 11 ",kyzylzhar.gazet@mail.ru,Зарап Кусаинов,Северо-Казахстанская область,Кызылжарский район,Газета,"ИП «А. Сулейменова», Акжами Сулейменова",kyzylzhar.gazet@mail.ru,
Мағжан Жұлдызы,87153121749,"Булаево, ул.Батыр Баяна, 13","magzhan.zhuldizi@yandex.kz, www.facebook.com/Magzhan zhuldizi,https://vk.com/Magzhan zhuldizi",Еркебулан Елюбаев,Северо-Казахстанская область,Район Магжана Жумабаева,Газета,"ТОО Ишим-Вести, Нелли Гончар",magzhan.zhuldizi@yandex.kz www.facebook.com/Magzhan zhuldizi,https://vk.com/Magzhan zhuldizi
Маяк,"871538 21409, 871538 21293","с.Бишкуль улица Ульянова 1""В""",mayak-bishcul@inbox.ru ,Николай Иванов,Северо-Казахстанская область,Кызылжарский район,Газета,"ТОО ""ИНГА"", Николай Иванов",mayak-bishcul@inbox.ru,
Парыз - Новатор,87153420388,"Сергеевка, ул. Победы, 35",serg_novator@mail.ru,Кайрат Оразалин,Северо-Казахстанская область,Район Шал Акына,Газета,"ТОО ""Редакция газеты ""Новатор"", Кайрат Оразалин",serg_novator@mail.ru,
Новости Приишимья,"871535 21223, 8701 5344775","с.Новоишимское, ул. Абылай-Хана, дом 11","new_ishim@mail.ru, ishimochka.kz",Марина Петрова,Северо-Казахстанская область,Район имени Габита Мусрепова,Газета,"ТОО ""Техносервис-Есиль"", Марина Петрова",new_ishim@mail.ru,http://ishimochka.kz/
Петропавловск kz,"87152 500594,8777 384 25 92","ул. Алтынсарина, 168 'Б', оф. 309","nsk1@mail.ru , https://pkzsk.info/kontakty/",Екатерина Назаренко ,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Недвижимость Северного Казахстана"", Екатерина Назаренко",nsk1@mail.ru,https://pkzsk.info/kontakty/
Проспект СК,"87152361012, 87776063949","ул. Жумабаева, 95","prospekt_sk@mail.ru, http://www.prospektsk.kz/",Юлия Пронина,Северо-Казахстанская область,Петропавловск,Газета,"ТОО ""Мол табыс"", Дмитрий Пампур",prospekt_sk@mail.ru,http://www.prospektsk.kz/
Тайынша таңы,87153622964,"Тайынша, ул. Пролетарская, 210",tainsha_tan@list.ru,Гуль Нуралина,Северо-Казахстанская область,Тайыншинский район,Газета,"ТОО ""Тайынша Таңы"", Гуль Нуралина",tainsha_tan@list.ru,
Тайыншинские Вести,"871536 21860,  871536 23200","Тайынша, ул. Астана, 167","T-vesti@mail.kz, www.tv.ivest.kz, https://vk.com/tvesti85 ",Ольга Соболевская,Северо-Казахстанская область,Тайыншинский район,Газета,"ТОО ""Тайынша-Информ"", Аслан Нурсеитов",T-vesti@mail.kz www.tv.ivest.kz,https://vk.com/tvesti85
QYZYLJAR,"87152469500, 87152 463734","ул. Брусиловского, 1","petropavltv@kaztrk.kz, petropavl-tv@mail.ru,petropavltv@gmail.com, http://petropavltv.kz/ru",Баян Калиева,Северо-Казахстанская область,Петропавловск,ТВ,"АО ""Республиканская Телерадиокорпорация  ""Казахстан"", Ерлан Тоқшалық",petropavltv@kaztrk.kz petropavl-tv@mail.rupetropavltv@gmail.com,http://petropavltv.kz/ru
Муниципальный телеканал - МТРК,"87152461370, 87152 463422","ул. П.Васильева, д. 69","mtrk@mail.online.kz, mtrk.kz",Халия Жулдаспаева,Северо-Казахстанская область,Петропавловск,ТВ,"КГП ""Муниципальный телерадиоканал акимата СКО УВП СКО"", Евгений Сазанов",mtrk@mail.online.kz,https://mtrk.kz/
Первый Северный Телеканал,"87152460919, 87152 460919","ул. Конституции Казахстана, 2","carat_prognoz@list.ru, www.1severniy.kz",Нургуль Алина,Северо-Казахстанская область,Петропавловск,ТВ,"ТОО ""Carat-Прогноз"", Олеся Герасимова",carat_prognoz@list.ru,https://1severniy.kz/?lang=kz
Аймак тынысы,87254770330,"Ленгер, 1 мкр, д. 67",,Лаззат Асанова,Туркестанская область,Толебийский район,Газета,"ТОО ""Газеттер мен журналдарга жазылу бойынша Толеби орталыгы"", Арайлым Байниязова",,
Астарлы ақиқат,87763454544,"мкр. Восток, 108а\1",,Сардор Абдуяхяев,Туркестанская область,Енбекшиинский район,Газета,"ИП ""Astarly akikat"", Сардор Абдуяхяев",,
Ваша безопасность,"872536 35112, 872536 31187","ул Жамбыла, 7",,Жунисова Раушан,Туркестанская область,Кентау,Газета,"ТОО ""Еркин и К-ХХІ"", Арайлым Балтаева",,
Жалынды жастар,"8 747 6261525, 8 705 5464638","Ленгер, ул. Казыбек би, д.60",,Карлыгаш Ногаева,Туркестанская область,Толебийский район,Газета,"ТОО ""Әдеби-мәдени, қоғамдық-саяси газетінің редакциясы""",,
Өркен,87 253 461 993,"Жетысай, ул. Абая, б н",,Бейсенбек Дуйсеев,Туркестанская область,Мактааральский район,Газета,"ТОО ""Жеті"", Бейсенбек Дуйсеев",,
Өскен өңір,"872535 21159, 872535 21860,872535 21809","ул. Аширова, 6",oskenonir@mail.ru,Есенбай Бейсенбиев,Туркестанская область,Шардара,Газета,"ТОО ""Шардаринская районная газета ""Өскен өңір"", Есенбай Бейсенбиев",oskenonir@mail.ru,
Адабиет ва санъат,8 778 238 31 33,"ул. Бекет батыра, 1",,Абдугаффар Махамедов,Туркестанская область,Аксукент,Газета,"ИП ""Махамедов Абдугафор Абдусадикович""",,
Аймақ,87056945069,"ул. Ата Турк, 14",,Кулжан Турлыбекова,Туркестанская область,Туркестан,Газета,"ИП ""Туркистан тынысы"", Касымбеков Орынбек",,
Арыс ақиқаты,"8701 4654097, 872540 20330","ул. Əбу-Насыр əл-Фараби , 3 ",arys_akikati@mail.ru,Əбдімəлік Ағыбай,Туркестанская область,Арыс,Газета,"ТОО ""Редакция газеты ""Арыс ақиқаты""",arys_akikati@mail.ru,
Кентау - Кентау шұғыласы,"87253634620,8 7253632405 87021704603
, 87059750117","ул. Абылайхана,20",gazetakentau@mail.ru,Абубакир  Қалдыбеков,Туркестанская область,Кентау,Газета,"ТОО ""Кентау"" - ""Кентау шұғыласы"" қалалық газеттердің редакциясы"", Абубакир Калдыбеков",gazetakentau@mail.ru,
Алғабас,87025249525.8775,"с. Шаян, ул.Тасболатов, д.1",algabas-shayan@mail.ru,Бағдат  Қалаубай,Туркестанская область,Байдибекский район,Газета,"ТОО ""Алғабас"" газеті"", Абзал Әділбеков",algabas-shayan@mail.ru,
Қазығұрт тынысы,87253921379,Центральный парк,"Kazigurt_tinisi@mail.ru, http://kazigurt-tinisi.kz/",Дәрменбай Шәріп,Туркестанская область,Казыгурт,Газета,"ТОО ""Газета ""Қазығұрт тынысы"", Дәрменбай Шәріп",Kazigurt_tinisi@mail.ru,http://kazigurt-tinisi.kz/
Мақтаарал,87253461064,"Жетысай, ул. Айманова, н\у",Maktaaral-Jetisay@mail.ru,А.Торебеков,Туркестанская область,Мактааральский район,Газета,"ТОО ""Районная газета ""Мақтаарал"", Алтынбек Тастанбеков",Maktaaral-Jetisay@mail.ru,
Ордабасы оттары,87 778 337 11 11 ,"пос. Темирлан, ул. Казыбек би, 1","ordabasy_gazet@mail.ru, http://ordabasy-ottary.kz/",Ғалымжан Зиябек ,Туркестанская область,Ордабасинский район,Газета,"ТОО ""Ордабасы оттары"" газеті"", Ғалымжан Зиябек",ordabasy_gazet@mail.ru,http://ordabasy-ottary.kz/
Отырар алқабы,"872544 21348, 872544 22571","пос. Шауилдир, ул. Алтынбекова, 2","Otirar_91@mail.ru, https://www.facebook.com/people/%D0%9E%D1%82%D1%8B%D1%80%D0%B0%D1%80-%D0%90%D0%BB%D2%9B%D0%B0%D0%B1%D1%8B-%D0%93%D0%B0%D0%B7%D0%B5%D1%82%D1%96/100017299399037",Алмаз Асылбек ,Туркестанская область,Отырарский район,Газета,"Отырарский районный акимат, ГКП ""Отырар алқабы"" газеті"", Асылбек Алмаз",Otirar_91@mail.ru,https://www.facebook.com/people/%D0%9E%D1%82%D1%8B%D1%80%D0%B0%D1%80-%D0%90%D0%BB%D2%9B%D0%B0%D0%B1%D1%8B-%D0%93%D0%B0%D0%B7%D0%B5%D1%82%D1%96/100017299399037
Төлеби таңы,8 705 349 10 90,"Ленгер, ул. Кунаева, 7B",,Хангельдиева Дина,Туркестанская область,Толебийский район,Газета,"ИП ""Хангельдиева"", Дина Хангельдиева",,
Ленгер жаршысы,8 72547 62224,"Ленгер, ул. Казыбек би, 39",1lenger@mail.ru,Ботагоз Пернекулова,Туркестанская область,Толебийский район,Газета,"ТОО Төлеби - пресс, Гулжархын Омарханова",1lenger@mail.ru,
Arys aqiqaty,"872540 20330, 87014654097","ул. Аль-фараби, д.3",,Әбдімәлік Ағыбай,Туркестанская область,Арыс,Газета,"ТОО ""Редакция газеты ""Арыс ақиқаты"", Абдималик Садыкулы Агыбай",,
Шамшырақ,87781816162,"пос. Рыскулова, ул. Рыскулова, 216",kaltaev83@mail.ru,Марат Қалтаев ,Туркестанская область,Тюлькубасский район,Газета,"Тюлькубасский районный акимат, ТОО ""Шамшырақ газеті"", Арысбай Айтаманов",kaltaev83@mail.ru,
Отырар алқабы,,"ул. Дуйсенбей Алтынбеков, 3",otyraralkaby@mail.ru,Алмас Акылбек,Туркестанская область,Отырарский район,Газета,"ТОО ""Отырар алқабы"" газеті""",otyraralkaby@mail.ru,
Көп жаса,87011639601,"ул. Ынтымак, 38",,Сержан Мамбеталив,Туркестанская область,Казыгуртский район,Газета,"ЖК ""Мамбеталиев Сержан Досалыулы"", С.Мамбеталиев",,
Қазығұрт айнасы,"87253921249, 87014957231","ул. Конаев, Орталык китапхана",,Райымбек Айтубай,Туркестанская область,Казыгурт,Газета,"ТОО ""Қазығұрт айнасы"" газетінің редакциясы"", Зауре Айтубаева",,
Отырар өркениеті,"8 244 27084, 87715611148","пос. Шауилдир, ул. Сансербайулы, 12",,Оразбай Мұратов,Туркестанская область,Отырарский район,Газета,"ИП ""К.Маханбетов""",,
Шалқар шыңдары,"872540 53524, 87759773258","ул. Тажибаева, 25",shalkar-shyndary@mail.ru,Жадыра Есболаева,Туркестанская область,Арыс,Газета,"ТОО ""Шалқар шыңдары"", Маханбет Толебеков",shalkar-shyndary@mail.ru,
Төлеби туы,"87254762014, 87014087232","Ленгер, ул. Толеби, 111Б", ,Абдималик Рахманкулов,Туркестанская область,Толебийский район,Газета,"ТОО ""Төлеби туы кз"" қоғамдық-саяси газетінің редакциясы"", Рахманкулов Абдималик",,
Білім Әлемі,"87254762014, 87014087232","Ленгер, ул. Толеби, 111Б", ,Абдималик Рахманкулов,Туркестанская область,Толебийский район,Газета,"ТОО ""Төлеби туы кз"" қоғамдық-саяси газетінің редакциясы"", Рахманкулов Абдималик",,
Сарыағаш,"872537 22192,872537 22815, 87253771595,872537 21619","ул. Исмаилова, 19",gazeta.saryagash@mail.ru,Кеңес Балықбаев,Туркестанская область,Сарыагаш,Газета,"ТОО ""Сарыағаш"" қоғамдық-саяси газеті"", Кенес Балыкбаев",gazeta.saryagash@mail.ru,
Шаян,"87254877312, 87023219747, 87784147383","с. Шаян, ул. Байдибек, 49",gazeta_shayan@mail.ru,Ұлан Абзалұлы,Туркестанская область,Байдибекский район,Газета,"ТОО ""Шаян"" редакция газеті""",gazeta_shayan@mail.ru,
Киелі Қазығұрт,872539 22088,"ул. Конаева, 82",serzhan.m@mail.ru,Сержан Мамбеталиев,Туркестанская область,Казыгурт,Газета,"ИП Мамбеталиев Сержан Досалыулы, С.Мамбеталиев",serzhan.m@mail.ru,
Пульс Сайрама,"872531 20743, 87253120759,872531 20673","пос. Аксукент, ул. Жибек жолы, н\у",martobe_91@mail.ru,Балжан Халмуратова,Туркестанская область,Сайрамский район,Газета,"Сайрамский районный акимат, ТОО ""Исфиджаб"", Султан Ердаулет",martobe_91@mail.ru,
Сайрам садоси,"872531 20743, 87253120759, 872531 20674","пос. Аксукент, ул. Жибек жолы, н\у",martobe_91@mail.ru,Балжан Халмуратова,Туркестанская область,Сайрамский район,Газета,"Сайрамский районный акимат, ТОО ""Исфиджаб"", Балжан Халмуратова",martobe_91@mail.ru,
